Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.013174336678984,-2.17633575050336E-09,0.0870455763873143,0,0,0,32.5461542962152,0.463492190555503,-1.93936130812376E-08,-0.00903178593568008,0.834237290117041,-5.21842055607698E-09,1.14814029854843,0,0,0,0,0,0,package://mobile_manip/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://mobile_manip/meshes/base_link.STL,,mobile robot body-1;rear axle-2;rear axle-1,baseframe_coordinate_system,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fr_wheel_link,1.46795822768137E-05,-5.2013833787834E-06,0.0507751223652631,0,0,0,2.00738451500474,0.0077129683034541,-1.06254497030913E-06,-5.97464556091312E-08,0.00771034875024998,6.62613662638713E-09,0.0135355158684277,0,0,0,0,0,0,package://mobile_manip/meshes/fr_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manip/meshes/fr_wheel_link.STL,,wheels-2,fr_coordinates,fr_axis,fr_wheel_joint,continuous,0.1524,0.2794,0.0889,1.5708,0,0,base_link,0,0,-1,12,12,,,,,,,,,,
br_wheel_link,1.38937602216782E-05,-7.03618886440521E-06,0.0507751223652588,0,0,0,2.00738451500512,0.00771265588410991,-1.36007189593453E-06,-5.84082709869567E-08,0.00771066116958322,1.42133096427101E-08,0.0135355158684164,0,0,0,0,0,0,package://mobile_manip/meshes/br_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manip/meshes/br_wheel_link.STL,,wheels-4,br_coordinates,br_axis,br_wheel_joint,continuous,-0.1524,0.2794,0.0889,1.5708,0,0,base_link,0,0,-1,12,12,,,,,,,,,,
bl_wheel_link,-1.48237771047388E-05,-4.77495101804115E-06,-0.050775122365263,0,0,0,2.00738451500474,0.0077130275076627,9.85092940433789E-07,-5.99130018858183E-08,0.00771028954604139,-4.89661612324004E-09,0.0135355158684277,0,0,0,0,0,0,package://mobile_manip/meshes/bl_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manip/meshes/bl_wheel_link.STL,,wheels-1,bl_coordinates,bl_axis,bl_wheel_joint,continuous,-0.1524,-0.2794,0.0889,1.5708,0,0,base_link,0,0,1,12,12,,,,,,,,,,
fl_wheel_link,-1.26403967579958E-05,-9.09752126641156E-06,-0.0507751223652589,0,0,0,2.00738451500609,0.00771219324820219,1.59955940323993E-06,-5.55123957864941E-08,0.00771112380549709,-2.3063354782184E-08,0.0135355158684218,0,0,0,0,0,0,package://mobile_manip/meshes/fl_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manip/meshes/fl_wheel_link.STL,,wheels-3,fl_coordinates,fl_axis,fl_wheel_joint,continuous,0.1524,-0.2794,0.0889,1.5708,0,0,base_link,0,0,1,12,12,,,,,,,,,,
base_arm_link,-1.38777878078145E-17,-1.38777878078145E-17,0.0138392328513056,0,0,0,0.890590697080434,0.00179024878142422,2.95510178251609E-05,-1.65596973948845E-19,0.00170203915881994,-1.61452648344684E-19,0.00187477236540139,0,0,0,0,0,0,package://mobile_manip/meshes/base_arm_link.STL,1,1,1,1,0,0,0,0,0,0,package://mobile_manip/meshes/base_arm_link.STL,,Arm Base-1,base_coordinates,base_axis,base_arm_joint,revolute,0,0,0.1778,0,0,0,base_link,0,0,-1,12,12,0,6.28,,,,,,,,
link1_link,0.0261758251526831,0.102298704750442,0.140347838904677,0,0,0,1.47060490703815,0.016961127410666,-0.00289829197081345,-0.000122507734106125,0.00637578643004957,-0.000478761357552717,0.0129058159923818,0,0,0,0,0,0,package://mobile_manip/meshes/link1_link.STL,1,1,1,1,0,0,0,0,0,0,package://mobile_manip/meshes/link1_link.STL,,link 1-1,b_l1_coordinates,b_l1_axis,link1_joint,revolute,-0.0199494104244183,0.0656143080716115,0.0381000000000033,1.5707963267949,0,0.295159587889398,base_arm_link,0,0,-1,12,12,-1.57,1.4,,,,,,,,
link2_link,0.000157972169022195,0.0952502551238466,0.0555898299291898,0,0,0,0.385965013791146,0.00262554563234254,-3.76717254923786E-06,-3.89058089694458E-09,0.000358082257072824,-1.201650944743E-08,0.0024170210231749,0,0,0,0,0,0,package://mobile_manip/meshes/link2_link.STL,1,1,1,1,0,0,0,0,0,0,package://mobile_manip/meshes/link2_link.STL,,link 2-1,l1_l2_coordinates,l1_l2_axis,link2_joint,revolute,0.0472228948924485,0.184554187701001,0,0,0,0,link1_link,0,0,1,12,12,-1.57,1.57,,,,,,,,
link3_link,0.0371725334936419,0.0379622746552533,0.142857786663477,0,0,0,1.02787900847343,0.0068353759433914,-0.00357463573112609,0.000151470603990453,0.00668508790919965,0.000154682011463008,0.00769482037804941,0,0,0,0,0,0,package://mobile_manip/meshes/link3_link.STL,1,1,1,1,0,0,0,0,0,0,package://mobile_manip/meshes/link3_link.STL,,end effector-1,l2_l3coordinates,l2_l3_axis,link3_joint,revolute,0.000316478712867722,0.190499737115897,0,0,0,0,link2_link,0,0,-1,12,12,-1.57,1.57,,,,,,,,
suction_link,0.0247433465969923,0.0252689217380735,-1.4745670073868E-08,0,0,0,0.317272192916042,0.000435134778620283,8.90777010557611E-05,-5.72568346719955E-08,0.000438879780631664,5.62902825371822E-08,0.000348149583311609,0,0,0,0,0,0,package://mobile_manip/meshes/suction_link.STL,1,1,1,1,0,0,0,0,0,0,package://mobile_manip/meshes/suction_link.STL,,end plate-1,suction_coordinate,suction_axis,suction_joint,fixed,0.177707829255993,0.181482581591523,0.13715999999998,0,0,0,link3_link,0,0,0,,,,,,,,,,,,
